"search-number","evaluation","g1t1*","g2t1*","g3t1*","g4t1*","g5t1*","g6t1*","g7t1*","g1t2*","g2t2*","g3t2*","g4t2*","g5t2*","g6t2*","g7t2*","g1t3*","g2t3*","g3t3*","g4t3*","g5t3*","g6t3*","g7t3*","g1t4*","g2t4*","g3t4*","g4t4*","g5t4*","g6t4*","g7t4*","g1t5*","g2t5*","g3t5*","g4t5*","g5t5*","g6t5*","g7t5*","fitness","num-replicates","best-fitness-so-far"
"1","2520","0.45","0.49","0.33","0.9500000000000001","0.26","0.87","0.67","0.9","0.34","0.62","0.25","0.28","0.62","0.97","0.72","0.9","0.34","0.49","0.75","0.04","0.45","0.92","0.86","0.09","0.15","0.86","0.36","0.45","0.34","0.43","0.65","0.86","0.41000000000000003","0.93","0.91","203","1","199"
"1","2521","0.47000000000000003","0.03","0.68","0.34","0.19","0.81","0.51","0.42","0.92","0.52","0.37","0.26","0.3","0.07","0.9400000000000001","0.5","0.3","0.45","0.12","0.98","0.09","0.23","0.86","0.14","0.16","0.6","0.59","0.33","0.34","0.38","0.1","0.11","0.71","0.84","0.11","203","1","199"
"1","2522","0.75","0.6","0.17","0.91","0.9500000000000001","0.29","0.49","0.15","0.45","0.8","0.06","0.61","0.53","0.52","0.04","0.15","0.4","0.81","0.26","0.77","0.27","0.6","0.87","0.44","0.5700000000000001","0.9400000000000001","0.87","0.05","0.99","0.41000000000000003","0.59","0.14","0.61","0.86","0.11","203","1","199"
"1","2523","0.8200000000000001","0.79","0.88","0.34","0.65","0.85","0.06","0.9","0.5","0.5700000000000001","0.26","0.15","0.97","0.41000000000000003","0.64","0.04","0.29","0.53","0.4","0.6","0.9","0.45","0.91","0.15","0.06","0.55","0.7000000000000001","0.79","0.45","0.67","0.52","0.33","0.6","0.11","0.15","203","1","199"
"1","2524","0.02","0.77","0.61","0.93","0.64","0.9400000000000001","0.26","0.27","0.86","0.99","0.7000000000000001","0.1","0.49","0.9500000000000001","0.59","0.99","0.17","0.24","0.79","0.29","0.54","0.17","0.41000000000000003","0.3","0.3","0.33","0.73","0.9400000000000001","0.2","0.96","0.06","0.38","0.07","0.1","0.41000000000000003","203","1","199"
"1","2525","0.14","0","0","0.65","0.73","0.9400000000000001","0.22","0.36","0.61","0.19","0.58","0.39","0.97","0.72","0.7000000000000001","0.04","0.9500000000000001","0.46","0.76","0.25","0.1","0.96","0.13","0.88","0.43","0.7000000000000001","0.37","0.56","0.19","0.33","0.7000000000000001","0.41000000000000003","0.86","0.84","0.8","200","1","199"
"1","2526","0.14","0","0.63","0.35000000000000003","0.08","0.23","0.08","0.35000000000000003","0.3","0.72","0.75","0.67","0.33","0.01","0.79","0.9","0.34","0.8","0.37","0.26","0.92","0.56","0.65","0.33","0.67","0.06","0.98","0.05","0.97","0.1","0.87","0.16","0.33","0.09","0.9500000000000001","206","1","199"
"1","2527","0.02","0.3","0.06","0.65","0.72","0.9400000000000001","0.15","0.36","0.61","0.31","0.58","0.38","0","0.75","0.78","0.89","0.8","0.15","0.67","0.3","0.41000000000000003","0.17","0.8","0.3","0.97","0.9400000000000001","0.74","0.9400000000000001","0.2","0.99","0.07","0.39","0.59","0.1","0.41000000000000003","203","1","199"
"1","2528","0.89","0.63","0.16","1","0.32","0.98","0.49","0.9","0.13","0.06","0.25","0.11","0.29","0","0.9400000000000001","0.49","0.31","0.53","0.52","0.45","0.36","0.46","0.91","0.15","0.31","0.56","0.98","0.36","0.2","0.24","0.65","0.54","0.79","0.66","0.59","203","1","199"
"1","2529","0.01","0","0","0.89","0.31","0.98","0.25","0.17","0.64","0.08","0.14","0.22","0.48","0.8","0.11","0.87","0.4","0.46","0.34","0.34","0.14","0.23","0.8200000000000001","0.14","0.16","0.35000000000000003","0.59","0.45","0.35000000000000003","0.2","0.9500000000000001","0.41000000000000003","0.56","0.17","0.49","199","1","199"
"1","2530","0.46","0.03","0.59","0.92","0.34","0.65","0.29","0.07","0.66","0.17","0.53","0.56","0.3","0.9400000000000001","0.35000000000000003","0.34","0.58","0.7000000000000001","0.66","0.58","0.03","0.07","0.97","0.13","0.4","0.32","0.45","0.36","0.45","0.24","0.74","0.21","0.71","0.8","0.1","203","1","199"
"1","2531","0.9","0.77","0.7000000000000001","0.34","0.3","0.71","0.06","0.59","0.77","0.26","0","0.06","0.5700000000000001","0.88","0.55","0.97","0.21","0.8200000000000001","0.16","0.02","0.35000000000000003","0.51","0.9","0.44","0.05","0.97","0.87","0.71","0.98","0.12","0.59","0.14","0.61","0.15","0.3","211","1","199"
"1","2532","0.03","0.46","0.58","0.42","0.49","0.3","0.25","0.17","0.64","0.08","0.54","0.23","0.15","0.08","0.04","0.85","0.43","0.81","0.37","0.26","0.92","0.56","0.78","0.33","0.86","0.05","0.97","0.05","0.97","0.1","0.72","0.16","0.33","0.06","0.9500000000000001","203","1","199"
"1","2533","0.03","0.3","0.58","0.35000000000000003","0.09","0.55","0.08","0.35000000000000003","0.01","0.72","0.75","0.67","0.62","0.01","0.75","0.9","0.34","0.8","0.11","0.26","0.92","0.56","0.65","0.33","0.86","0.06","0.97","0.05","0.17","0.21","0.67","0.15","0.38","0.15","0.32","203","1","199"
"1","2534","0.53","0.56","0.31","0.64","0.64","0.15","0.9400000000000001","0","0.03","0.11","0.03","0.03","0.1","0.4","0.64","0.97","0.72","0.45","0.52","0.97","0.14","0.23","1","0.78","0.44","0.28","0.36","0.45","0.34","0.43","0.65","0.54","0.8","0.66","0.59","203","1","199"
"1","2535","0.14","0.96","0.31","0.62","0.11","0.08","0.23","0.34","0","0.67","0.62","0.63","0.61","0.17","0.65","0.75","0.45","0.18","0.52","0.3","0.14","0.23","0.86","0.62","0.71","0.62","0.04","0.5700000000000001","0.34","0.5700000000000001","0.1","0.05","0.64","0.51","0.11","203","1","199"
"1","2536","0.02","0.78","0.5700000000000001","0.92","0.34","0.9400000000000001","0.29","0.08","0.6900000000000001","0.3","0.74","0.56","0.29","0.97","0.92","0.34","0.05","0.7000000000000001","0.66","0.37","0.03","0.07","0.78","0.39","0.28","0.07","0.85","0.9400000000000001","0.62","0.67","0.77","0.34","0.05","0.05","0.04","203","1","199"
"1","2537","0.5","0.52","0.31","0.48","0.64","0.64","0.9400000000000001","0.6","0.86","0.37","0.86","0.39","0.54","0.16","0.9500000000000001","0.34","0.67","0.5","0.66","0.79","0.49","0.14","0.07","0.31","0.81","0.93","0.73","0.9","0.2","0.24","0.05","0.38","0.59","0.25","0.41000000000000003","203","1","199"
"1","2538","0.45","0.07","0.48","0.61","0.08","0.08","0.24","0.3","0.65","0.79","0.5","0.04","0.84","0.04","0.63","0.96","0.04","0.75","0.67","0.58","0.19","0.79","0.9500000000000001","0.87","0.04","0.06","0.68","0.25","0.34","0.08","0.9500000000000001","0.54","0.11","0.2","0.6","203","1","199"
"1","2539","0.02","0.5","0.34","0.93","0.64","0.9400000000000001","0.26","0.27","0.86","0.26","0.71","0.09","0.46","0.9500000000000001","0.43","0.99","0.17","0.07","0.74","0.75","0.1","0.96","0.77","0.88","0.44","0.7000000000000001","0.31","0.56","0.19","0.33","0.7000000000000001","0.41000000000000003","0.8200000000000001","0.87","0.8","203","1","199"
"1","2540","0.45","0.03","0.68","0.34","0.3","0.71","0.06","0.59","0.77","0.21","0.07","0.06","0.54","0.88","0.55","0.97","0.21","0.8200000000000001","0.16","0.02","0.28","0.5","0.89","0.44","0.05","0.97","0.87","0.71","0.98","0.12","0.59","0.14","0.61","0.86","0.3","203","1","199"
"1","2541","0.81","0.04","0.71","0.34","0.19","0.37","0.44","0.42","0.92","0.52","0.26","0.29","0.62","0.9400000000000001","0.73","0.9","0.29","0.46","0.52","0.97","0.14","0.47000000000000003","1","0.78","0.19","0.86","0.4","0.8200000000000001","0.29","0.12","0.68","0.49","0.5","0.15","0.8200000000000001","203","1","199"
